PSO101

VEHICLE
NUMBER     CAPACITY
  5         1700

CUSTOMER
CUST NO.   XCOORD.       YCOORD.         DEMAND          READY TIME     DUE DATE        SERVICE TIME
 
    0      628.298       3281.896         0               0             1236             0   
    1      652.962       3269.611         400            912           967             90   
    2      641.474       3269.611         200            825           870             90   
    3      651.208       3268.814         100            65            146             90   
    4      655.236       3271.702         350            727           782             90   
    5      644.652       3275.904         200            15            67              90   
    6      640.402       3277.821         400            621           702             90   
    7      647.522       3270.582         250            170           225             90   
    8      644.408       3263.427         350            255           324             90   
    9      646.248       3275.309         150            534           605             90   
   10      642.683       3272.029         450            357           410             90   
   11      647.325       3267.129         200            448           505             90   
   12      648.584       3279.836         300            652           721             90   
   13      645.184       3270.182         250            30            92              90   
   14      647.937       3275.885         150            567           620             90   
   15      651.609       3275.103         200            384           429             90   
   16      654.799       3276.070         100            475           528             90
