PSO101

VEHICLE
NUMBER     CAPACITY
  20         1.70

CUSTOMER
CUST NO.   XCOORD.       YCOORD.         DEMAND          READY TIME     DUE DATE        SERVICE TIME
 
    0      628.298       328.1896         0               0             1236             0   
    1      652.962       326.9611         0.40            912           967             90   
    2      641.474       326.9611         0.20            825           870             90   
    3      651.208       326.8814         0.10            65            146             90   
    4      655.236       327.1702         0.35            727           782             90   
    5      644.652       327.5904         0.20            15            67              90   
    6      640.402       327.7821         0.40            621           702             90   
    7      647.522       327.0582         0.25            170           225             90   
    8      644.408       326.3427         0.35            255           324             90   
    9      646.248       327.5309         0.15            534           605             90   
   10      642.683       327.2029         0.45            357           410             90   
   11      647.325       326.7129         0.20            448           505             90   
   12      648.584       327.9836         0.30            652           721             90   
   13      645.184       327.0182         0.25            30            92              90   
   14      647.937       327.5885         0.15            567           620             90   
   15      651.609       327.5103         0.20            384           429             90   
   16      654.799       327.6070         0.10            475           528             90
